US_States,Date,Confirmed,Deaths,Population
Alabama,7/1/2020,39647,972,5024356
Alaska,7/1/2020,993,14,733378
Arizona,7/1/2020,84105,1725,7151507
Arkansas,7/1/2020,21197,277,3011555
California,7/1/2020,248148,6076,39538245
Colorado,7/1/2020,36806,1731,5773733
Connecticut,7/1/2020,46572,4324,3605942
Delaware,7/1/2020,11510,567,989957
Florida,7/1/2020,158997,3550,21538226
Georgia,7/1/2020,84242,2827,10711937
Hawaii,7/1/2020,926,18,1455273
Idaho,7/1/2020,6370,92,1839092
Illinois,7/1/2020,144013,6951,12812545
Indiana,7/1/2020,45952,2581,6785668
Iowa,7/1/2020,29514,717,3190372
Kansas,7/1/2020,14830,277,2937847
Kentucky,7/1/2020,15842,572,4505893
Louisiana,7/1/2020,60178,3238,4657749
Maine,7/1/2020,3294,105,1362341
Maryland,7/1/2020,67918,3205,6177213
Massachusetts,7/1/2020,108882,8053,7029949
Michigan,7/1/2020,71089,6198,10077325
Minnesota,7/1/2020,36716,1482,5706504
Mississippi,7/1/2020,27900,1082,2961288
Missouri,7/1/2020,21507,1028,6154920
Montana,7/1/2020,1016,22,1084197
Nebraska,7/1/2020,19310,276,1961489
Nevada,7/1/2020,19101,511,3104624
New Hampshire,7/1/2020,5802,373,1377518
New Jersey,7/1/2020,172934,15078,9289031
New Mexico,7/1/2020,12276,500,2117527
New York,7/1/2020,394079,31881,20201230
North Carolina,7/1/2020,66751,1398,10439414
North Dakota,7/1/2020,3660,80,779091
Ohio,7/1/2020,52865,2618,11799374
Oklahoma,7/1/2020,14119,389,3959346
Oregon,7/1/2020,8931,208,4237291
Pennsylvania,7/1/2020,91110,6695,13002689
Rhode Island,7/1/2020,16853,978,1097371
South Carolina,7/1/2020,37919,766,5118429
South Dakota,7/1/2020,6826,93,886677
Tennessee,7/1/2020,45114,609,6910786
Texas,7/1/2020,173204,2664,29145428
Utah,7/1/2020,22716,173,3271614
Vermont,7/1/2020,1210,56,643085
Virginia,7/1/2020,63203,1786,8631384
Washington,7/1/2020,34152,1309,7705247
West Virginia,7/1/2020,2979,93,1793755
Wisconsin,7/1/2020,29199,786,5893725
Wyoming,7/1/2020,1514,20,576837
Alabama,7/1/2021,550983,11352,5031362
Alaska,7/1/2021,71275,377,732923
Arizona,7/1/2021,895347,17939,7179943
Arkansas,7/1/2021,350085,5909,3014195
California,7/1/2021,3884784,63178,39501653
Colorado,7/1/2021,563627,6890,5784865
Connecticut,7/1/2021,349387,8279,3597362
Delaware,7/1/2021,109770,1694,992114
Florida,7/1/2021,2365464,37772,21589602
Georgia,7/1/2021,1135093,21428,10729828
Hawaii,7/1/2021,37807,518,1451043
Idaho,7/1/2021,195089,2154,1849202
Illinois,7/1/2021,1392197,25684,12786580
Indiana,7/1/2021,754317,13855,6788799
Iowa,7/1/2021,373960,6140,3190571
Kansas,7/1/2021,318735,5156,2937919
Kentucky,7/1/2021,465330,7223,4507445
Louisiana,7/1/2021,482035,10748,4651664
Maine,7/1/2021,69055,859,1363557
Maryland,7/1/2021,462354,9744,6173205
Massachusetts,7/1/2021,710049,14508,6995729
Michigan,7/1/2021,1000241,21013,10069577
Minnesota,7/1/2021,605448,7692,5709852
Mississippi,7/1/2021,321944,7415,2958141
Missouri,7/1/2021,627082,9731,6153998
Montana,7/1/2021,113821,1666,1087075
Nebraska,7/1/2021,224488,2261,1962642
Nevada,7/1/2021,334255,5692,3115648
New Hampshire,7/1/2021,99527,1372,1378587
New Jersey,7/1/2021,1023613,26462,9271689
New Mexico,7/1/2021,205629,4343,2118390
New York,7/1/2021,2115377,53481,20108296
North Carolina,7/1/2021,1013985,13434,10449445
North Dakota,7/1/2021,110508,1559,779518
Ohio,7/1/2021,1111903,20547,11797517
Oklahoma,7/1/2021,458180,7388,3964912
Oregon,7/1/2021,208836,2778,4244795
Pennsylvania,7/1/2021,1226091,27687,12994440
Rhode Island,7/1/2021,152618,2730,1096345
South Carolina,7/1/2021,597021,9826,5131848
South Dakota,7/1/2021,124570,2038,887799
Tennessee,7/1/2021,865923,12505,6925619
Texas,7/1/2021,3040497,52312,29232474
