US_States,Date,Confirmed,Deaths,Recovered
Alabama,7/1/2020,39647,972,18866
Alaska,7/1/2020,993,14,528
Arizona,7/1/2020,84105,1725,9715
Arkansas,7/1/2020,21197,277,15163
California,7/1/2020,248148,6076,
Colorado,7/1/2020,36806,1731,4502
Connecticut,7/1/2020,46572,4324,8053
Delaware,7/1/2020,11510,567,6676
Florida,7/1/2020,158997,3550,
Georgia,7/1/2020,84242,2827,
Hawaii,7/1/2020,926,18,736
Idaho,7/1/2020,6370,92,4233
Illinois,7/1/2020,144013,6951,
Indiana,7/1/2020,45952,2581,35025
Iowa,7/1/2020,29514,717,23607
Kansas,7/1/2020,14830,277,834
Kentucky,7/1/2020,15842,572,4052
Louisiana,7/1/2020,60178,3238,43026
Maine,7/1/2020,3294,105,2671
Maryland,7/1/2020,67918,3205,5001
Massachusetts,7/1/2020,108882,8053,
Michigan,7/1/2020,71089,6198,51099
Minnesota,7/1/2020,36716,1482,31947
Mississippi,7/1/2020,27900,1082,19388
Missouri,7/1/2020,21507,1028,
Montana,7/1/2020,1016,22,658
Nebraska,7/1/2020,19310,276,13737
Nevada,7/1/2020,19101,511,714
New Hampshire,7/1/2020,5802,373,4463
New Jersey,7/1/2020,172934,15078,30300
New Mexico,7/1/2020,12276,500,5393
New York,7/1/2020,394079,31881,70590
North Carolina,7/1/2020,66751,1398,45538
North Dakota,7/1/2020,3660,80,3210
Ohio,7/1/2020,52865,2618,
Oklahoma,7/1/2020,14119,389,10605
Oregon,7/1/2020,8931,208,2722
Pennsylvania,7/1/2020,91110,6695,68048
Rhode Island,7/1/2020,16853,978,1638
South Carolina,7/1/2020,37919,766,15471
South Dakota,7/1/2020,6826,93,5933
Tennessee,7/1/2020,45114,609,28283
Texas,7/1/2020,173204,2664,87556
Utah,7/1/2020,22716,173,12707
Vermont,7/1/2020,1210,56,961
Virginia,7/1/2020,63203,1786,8131
Washington,7/1/2020,34152,1309,
West Virginia,7/1/2020,2979,93,2284
Wisconsin,7/1/2020,29199,786,23089
Wyoming,7/1/2020,1514,20,1119
Alabama,10/1/2020,155727,2548,67948
Alaska,10/1/2020,7996,58,4838
Arizona,10/1/2020,219212,5674,35411
Arkansas,10/1/2020,84821,1384,76186
California,10/1/2020,824977,15918,
Colorado,10/1/2020,77513,2099,6531
Connecticut,10/1/2020,57742,4511,9408
Delaware,10/1/2020,20787,654,10648
Florida,10/1/2020,709144,14444,
Georgia,10/1/2020,319359,7063,
Hawaii,10/1/2020,12515,139,10298
Idaho,10/1/2020,42561,472,22180
Illinois,10/1/2020,297884,8940,
Indiana,10/1/2020,121176,3663,95655
Iowa,10/1/2020,90428,1366,69619
Kansas,10/1/2020,62292,680,2095
Kentucky,10/1/2020,69728,1191,11970
Louisiana,10/1/2020,166584,5519,154163
Maine,10/1/2020,5428,141,4704
Maryland,10/1/2020,125510,3949,7568
Massachusetts,10/1/2020,132870,8453,113768
Michigan,10/1/2020,139012,7102,95051
Minnesota,10/1/2020,100200,2102,89980
Mississippi,10/1/2020,98886,2979,89737
Missouri,10/1/2020,130729,2103,
Montana,10/1/2020,13500,181,9428
Nebraska,10/1/2020,46185,493,33362
Nevada,10/1/2020,80410,1603,2226
New Hampshire,10/1/2020,8317,441,7534
New Jersey,10/1/2020,211378,16140,34894
New Mexico,10/1/2020,29661,882,16671
New York,10/1/2020,462861,33166,76834
North Carolina,10/1/2020,212898,3579,184422
North Dakota,10/1/2020,22612,256,18272
Ohio,10/1/2020,155314,4491,134216
Oklahoma,10/1/2020,88369,1035,74483
Oregon,10/1/2020,33862,560,5738
Pennsylvania,10/1/2020,164974,8148,131300
